locationName,startTime,endTime,Max Temp.,Min Temp.
Tainan,2016-06-09T18:00:00+08:00,2016-06-10T06:00:00+08:00,29,28
Tainan,2016-06-10T06:00:00+08:00,2016-06-10T18:00:00+08:00,30,28
Tainan,2016-06-10T18:00:00+08:00,2016-06-11T06:00:00+08:00,29,28
Tainan,2016-06-11T06:00:00+08:00,2016-06-11T18:00:00+08:00,30,28
Tainan,2016-06-11T18:00:00+08:00,2016-06-12T06:00:00+08:00,29,28
Tainan,2016-06-12T06:00:00+08:00,2016-06-12T18:00:00+08:00,30,28
Tainan,2016-06-12T18:00:00+08:00,2016-06-13T06:00:00+08:00,29,28
Kaohsiung,2016-06-06T12:00:00+08:00,2016-06-06T18:00:00+08:00,32,30
Kaohsiung,2016-06-06T18:00:00+08:00,2016-06-07T06:00:00+08:00,30,28
Kaohsiung,2016-06-07T06:00:00+08:00,2016-06-07T18:00:00+08:00,32,28
Kaohsiung,2016-06-07T18:00:00+08:00,2016-06-08T06:00:00+08:00,30,27
Kaohsiung,2016-06-08T06:00:00+08:00,2016-06-08T18:00:00+08:00,30,27
Kaohsiung,2016-06-08T18:00:00+08:00,2016-06-09T06:00:00+08:00,29,28
Kaohsiung,2016-06-09T06:00:00+08:00,2016-06-09T18:00:00+08:00,30,28
Kaohsiung,2016-06-09T18:00:00+08:00,2016-06-10T06:00:00+08:00,29,28
Kaohsiung,2016-06-10T06:00:00+08:00,2016-06-10T18:00:00+08:00,30,28
Kaohsiung,2016-06-10T18:00:00+08:00,2016-06-11T06:00:00+08:00,29,28
Kaohsiung,2016-06-11T06:00:00+08:00,2016-06-11T18:00:00+08:00,31,28
Kaohsiung,2016-06-11T18:00:00+08:00,2016-06-12T06:00:00+08:00,30,28
Kaohsiung,2016-06-12T06:00:00+08:00,2016-06-12T18:00:00+08:00,31,28
Kaohsiung,2016-06-12T18:00:00+08:00,2016-06-13T06:00:00+08:00,30,28
