"CO","County","FPMI","MajorPollutant","NO","NO2","NOx","O3","PM10","PM2.5","PSI","PublishTime","SiteName","SO2","Status","WindDirec","WindSpeed"
"0.51","高雄市","5","懸浮微粒","2.14","20","21.82","61","99","42","76","2016-02-22 17:00","橋頭","5.9","普通","304","2.8"
"0.55","高雄市","5","懸浮微粒","3.39","42","45.77","62","118","46","80","2016-02-22 17:00","仁武","5.3","普通","283","1.8"
"0.73","高雄市","6","懸浮微粒","1.54","20","21.35","82","124","50","86","2016-02-22 17:00","鳳山","5","普通","286","1.9"
"0.75","高雄市","6","臭氧","1.99","32","34.09","95","105","53","79","2016-02-22 17:00","大寮","9.4","普通","264","1.8"
"0.37","高雄市","5","臭氧","1.17","16","16.97","96","61","50","80","2016-02-22 17:00","林園","8.6","普通","280","2.6"
"0.56","高雄市","6","懸浮微粒","2.87","21","23.5","","","","82","2016-02-22 17:00","楠梓","5.4","普通","268","2.4"
"0.4","高雄市","7","懸浮微粒","1.07","13","14.4","84","103","42","76","2016-02-22 17:00","左營","3.6","普通","310","3"
"0.47","高雄市","5","懸浮微粒",".69","11","11.71","84","95","43","76","2016-02-22 17:00","前金","3.5","普通","319","3"
"","高雄市","4","懸浮微粒","","","","80","84","37","68","2016-02-22 17:00","前鎮","","普通","304","1.9"
"","高雄市","5","懸浮微粒","","","","","","","73","2016-02-22 17:00","小港","","普通","277","2.3"
"0.6","屏東縣","7","臭氧","1.43","24","25.41","97","131","70","81","2016-02-22 17:00","屏東","7.1","普通","288","2.5"
"0.58","屏東縣","8","臭氧",".63","17","17.73","107","128","66","89","2016-02-22 17:00","潮州","9.3","普通","238","2.5"
"0.2","屏東縣","1","","1.59","1.5","3.09","50","48","13","41","2016-02-22 17:00","恆春","1.1","良好","32","6.5"
"0.72","臺東縣","2","","2.59","9.8","12.38","37","36","18","31","2016-02-22 17:00","臺東","4","良好","157","1.4"
"0.35","花蓮縣","2","","1.84","5.3","7.17","45","39","13","37","2016-02-22 17:00","花蓮","1.6","良好","163","2"
"0.38","臺北市","2","",".79","8.5","9.27","46","28","24","38","2016-02-22 17:00","陽明","1.9","良好","",""
"0.38","宜蘭縣","2","",".58","7.6","8.2","48","39","14","40","2016-02-22 17:00","宜蘭","1.9","良好","62","2"
"0.37","宜蘭縣","2","","4.28","17","21.14","47","51","9","46","2016-02-22 17:00","冬山","2.1","良好","314","2.3"
"1.73","新北市","3","懸浮微粒","91.94","50","141.95","","84","25","64","2016-02-22 17:00","三重","2.8","普通","",""
"0.85","桃園市","3","懸浮微粒","11.69","27","38.37","30","60","22","59","2016-02-22 17:00","中壢","1.8","普通","340","1"
"0.46","南投縣","8","懸浮微粒","","","","52","139","59","90","2016-02-22 17:00","竹山","4.1","普通","286","1.6"
"1.1","新北市","3","懸浮微粒","24.72","40","64.4","20","61","32","55","2016-02-22 17:00","永和","3.1","普通","16","0.9"
"0.74","高雄市","5","懸浮微粒",".47","23","23.75","84","104","44","77","2016-02-22 17:00","復興","5","普通","282","1.1"
"0.58","南投縣","6","臭氧",".88","16","17.14","92","100","65","76","2016-02-22 17:00","埔里","1.9","普通","123","3.1"
"0.35","連江縣","2","","1.35","6.4","7.76","42","12","11","35","2016-02-22 17:00","馬祖","1.3","良好","185","0.9"
"0.5","金門縣","4","懸浮微粒","2.17","26","28.32","25","155","53","87","2016-02-22 17:00","金門","6.9","普通","37","1.1"
"0.34","澎湖縣","3","懸浮微粒","1.07","5.9","6.95","56","52","25","62","2016-02-22 17:00","馬公","1.3","普通","81","3.9"
"","臺東縣","2","","1.93","8.4","10.32","36","34","16","30","2016-02-22 17:00","關山","1.2","良好","191","1.8"
"0.38","雲林縣","5","懸浮微粒","2","6.2","8.24","63","98","59","80","2016-02-22 17:00","麥寮","6.1","普通","60","5.3"
