"CO","County","FPMI","MajorPollutant","NO","NO2","NOx","O3","PM10","PM2.5","PSI","PublishTime","SiteName","SO2","Status","WindDirec","WindSpeed"
"0.59","高雄市","5","懸浮微粒","1.33","20","21.38","60","102","43","76","2016-02-22 18:00","橋頭","4.6","普通","304","2.4"
"0.59","高雄市","5","懸浮微粒","1.48","26","27.88","66","121","43","82","2016-02-22 18:00","仁武","5.1","普通","320","2.4"
"0.97","高雄市","6","懸浮微粒","1.32","27","28.43","65","126","49","86","2016-02-22 18:00","鳳山","5.2","普通","307","2.1"
"0.78","高雄市","6","懸浮微粒","1.28","30","30.89","78","106","52","76","2016-02-22 18:00","大寮","5.8","普通","263","1.4"
"0.44","高雄市","5","臭氧","1.03","18","19.43","79","68","52","66","2016-02-22 18:00","林園","6.4","普通","271","1.6"
"","高雄市","5","懸浮微粒","","","","54","120","43","82","2016-02-22 18:00","楠梓","","普通","298","2.8"
"0.45","高雄市","6","懸浮微粒",".92","16","16.62","73","103","40","76","2016-02-22 18:00","左營","3.4","普通","312","2.2"
"0.6","高雄市","5","懸浮微粒",".77","14","15.04","75","87","43","74","2016-02-22 18:00","前金","3.3","普通","305","2.1"
"0.9","高雄市","5","懸浮微粒","-.06","26","25.76","64","85","48","68","2016-02-22 18:00","前鎮","3.4","普通","274","1.5"
"","高雄市","","懸浮微粒","","","","","109","","74","2016-02-22 18:00","小港","","普通","313","2"
"0.67","屏東縣","7","懸浮微粒","1.33","29","30.3","62","132","72","82","2016-02-22 18:00","屏東","6.9","普通","282","2.6"
"0.4","屏東縣","8","懸浮微粒",".08","11","11.2","74","112","65","78","2016-02-22 18:00","潮州","5.4","普通","151","0.7"
"0.2","屏東縣","1","","1.91","1.3","3.17","50","48","10","42","2016-02-22 18:00","恆春","1","良好","42","5.9"
"0.95","臺東縣","2","","2.56","11","13.27","35","56","29","34","2016-02-22 18:00","臺東","5","良好","165","1.2"
"0.49","花蓮縣","2","","1.78","9.6","11.4","40","56","14","39","2016-02-22 18:00","花蓮","1.3","良好","170","1.2"
"0.37","臺北市","2","",".62","7.8","8.4","","30","25","27","2016-02-22 18:00","陽明","1.5","良好","",""
"0.39","宜蘭縣","2","",".46","8.7","9.14","41","33","12","35","2016-02-22 18:00","宜蘭","1.7","良好","65","2.4"
"0.48","宜蘭縣","2","","3.39","20","22.99","39","48","5","48","2016-02-22 18:00","冬山","2.3","良好","283","2.3"
"2.05","新北市","3","懸浮微粒","75.72","43","118.92","","78","24","64","2016-02-22 18:00","三重","2.4","普通","",""
"0.92","桃園市","3","懸浮微粒","15.48","32","47.53","23","65","21","60","2016-02-22 18:00","中壢","1.9","普通","189","1"
"0.41","南投縣","7","懸浮微粒","-.15","21","20.67","44","125","41","88","2016-02-22 18:00","竹山","3.1","普通","293","1.7"
"1.41","新北市","3","懸浮微粒","31.88","41","72.78","14","66","34","56","2016-02-22 18:00","永和","2.8","普通","268","1"
"0.98","高雄市","5","懸浮微粒",".89","29","29.51","70","98","43","76","2016-02-22 18:00","復興","4.7","普通","293","1.2"
"0.64","南投縣","7","臭氧",".69","20","20.63","81","113","69","67","2016-02-22 18:00","埔里","2.1","普通","122","2.3"
"0.38","連江縣","2","","1.32","7.4","8.76","40","14","11","33","2016-02-22 18:00","馬祖","1.3","良好","328","1.5"
"0.56","金門縣","5","懸浮微粒","1.29","22","23.38","30","160","55","90","2016-02-22 18:00","金門","5.4","普通","112","2.1"
"0.38","澎湖縣","3","懸浮微粒",".94","4.7","5.62","56","54","26","59","2016-02-22 18:00","馬公","1.2","普通","85","3.7"
"","臺東縣","2","",".43","5","5.38","39","40","15","32","2016-02-22 18:00","關山","1.2","良好","213","2.9"
"0.38","雲林縣","6","懸浮微粒","1.69","8.1","9.74","58","90","46","79","2016-02-22 18:00","麥寮","2.2","普通","82","5.4"
